Type,Count,Allocated(MB),Resident(MB)
"System.Net.IPAddress",3,0.000,0.000
"System.Net.IPAddress.ReadOnlyIPAddress",3,0.000,0.000
"System.Collections.Generic.Dictionary.Entry<OVRPassthroughLayer.ColorMapEditorType,OVRPlugin.InsightPassthroughColorMapType>[]",1,0.000,0.000
"UnityEngine.Rendering.IRenderPipelineGraphicsSettings[]",2,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Camera>[]",2,0.000,0.000
"UnityEngine.Rendering.Universal.ScriptableRendererData.ProbeVolumeResources",2,0.000,0.000
"System.Threading.ExecutionContext",2,0.000,0.000
"System.Int32",7,0.000,0.000
"UnityEngine.Rendering.RenderStateBlock[]",1,0.000,0.000
"UnityEngine.Rendering.DebugUI.RenderingLayerField",1,0.000,0.000
"Meta.XR.ImmersiveDebugger.RuntimeSettings",1,0.000,0.000
"System.ValueTuple<UnityEngine.Rendering.RTHandle,System.Int32>[]",2,0.000,0.000
"System.Action<System.Collections.Generic.List<System.Boolean>,OVRTask<System.Boolean[]>>",1,0.000,0.000
"System.Action<System.Collections.Generic.List<OVRResult<System.Collections.Generic.List<OVRAnchor>,OVRAnchor.FetchResult>>,OVRTask<OVRResult<System.Collections.Generic.List<OVRAnchor>,OVRAnchor.FetchResult>[]>>",1,0.000,0.000
"System.Collections.Generic.List<UnityEngine.Rendering.DebugUI.Widget>[]",2,0.000,0.000
"UnityEngine.Rendering.IDebugDisplaySettingsPanelDisposable[]",2,0.000,0.000
"UnityEngine.Rendering.DebugUI.Panel[]",2,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphResourceRegistry.ResourceCallback",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.RenderGraphResourceRegistry.ResourceCreateCallback",1,0.000,0.000
"UnityEngine.Rendering.DynamicArray.SortComparer<RenderGraphCompilationCache.HashEntry<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.CompilerContextData>>",1,0.000,0.000
"UnityEngine.Rendering.DynamicArray.SortComparer<RenderGraphCompilationCache.HashEntry<UnityEngine.Rendering.RenderGraphModule.RenderGraph.CompiledGraph>>",1,0.000,0.000
"System.ValueTuple<UnityEngine.Camera,UnityEngine.Experimental.Rendering.XRPass>[]",2,0.000,0.000
"System.ValueTuple<System.Int32,UnityEngine.Rendering.RTHandle>[]",2,0.000,0.000
"UnityEngine.Events.UnityAction<System.Collections.Generic.List<UnityEngine.Rendering.DebugUI.Widget>>",1,0.000,0.000
"System.Func<System.ValueTuple<System.String,System.Type>,System.String>",1,0.000,0.000
"System.Func<System.Collections.Generic.IEnumerable<UnityEngine.Object>>",1,0.000,0.000
"System.Func<UnityEngine.Object>",1,0.000,0.000
"System.Action<UnityEngine.Rendering.DebugUI.Field<UnityEngine.Object>,UnityEngine.Object>",1,0.000,0.000
"System.Func<System.String>",1,0.000,0.000
"System.Func<UnityEngine.Experimental.Rendering.XRPassCreateInfo,UnityEngine.Experimental.Rendering.XRPass>",1,0.000,0.000
"System.Predicate<RenderGraphCompilationCache.HashEntry<UnityEngine.Rendering.RenderGraphModule.NativeRenderPassCompiler.CompilerContextData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.BaseRenderFunc<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData,UnityEngine.Rendering.RenderGraphModule.RasterGraphContext>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.EndXRPassData>>",1,0.000,0.000
"System.Predicate<UnityEngine.Rendering.Universal.ScriptableRenderPass>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.BaseRenderFunc<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData,UnityEngine.Rendering.RenderGraphModule.RasterGraphContext>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.DrawObjectsPass.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.BaseRenderFunc<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData,UnityEngine.Rendering.RenderGraphModule.RasterGraphContext>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.BeginXRPassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.BaseRenderFunc<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData,UnityEngine.Rendering.RenderGraphModule.RasterGraphContext>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.Internal.MainLightShadowCasterPass.PassData>>",1,0.000,0.000
"Unity.Jobs.IJobForExtensions.ForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.Universal.TileRangeExpansionJob>",1,0.000,0.000
"Unity.Jobs.IJobForExtensions.ForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.Universal.TilingJob>",1,0.000,0.000
"Unity.Jobs.IJobForExtensions.ForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.Universal.ZBinningJob>",1,0.000,0.000
"Unity.Jobs.IJobForExtensions.ForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.Universal.ReflectionProbeMinMaxZJob>",1,0.000,0.000
"Unity.Jobs.IJobForExtensions.ForJobStruct.ExecuteJobFunction<UnityEngine.Rendering.Universal.LightMinMaxZJob>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.BaseRenderFunc<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData,UnityEngine.Rendering.RenderGraphModule.RasterGraphContext>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.BaseRenderFunc<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData,UnityEngine.Rendering.RenderGraphModule.RasterGraphContext>",1,0.000,0.000
"UnityEngine.Rendering.Universal.MotionVectorRenderPass.PassData",1,0.000,0.000
"System.Action<System.Enum>",1,0.000,0.000
"System.Func<System.Enum>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.BaseRenderFunc<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData,UnityEngine.Rendering.RenderGraphModule.UnsafeGraphContext>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.ScriptableRenderer.PassData>>",1,0.000,0.000
"UnityEngine.Events.UnityAction<UnityEngine.Rendering.ProbeReferenceVolume.CellStreamingRequest>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.RenderGraphModule.UnsafeRenderGraphPass<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.BaseRenderFunc<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData,UnityEngine.Rendering.RenderGraphModule.RasterGraphContext>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.MotionVectorRenderPass.MotionMatrixPassData>>",1,0.000,0.000
"UnityEngine.Collider[]",2,0.000,0.000
"System.Func<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.RenderGraphModule.RasterRenderGraphPass<UnityEngine.Rendering.Universal.DebugHandler.DebugSetupPassData>>",1,0.000,0.000
"UnityEngine.Rendering.RenderGraphModule.BaseRenderFunc<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData,UnityEngine.Rendering.RenderGraphModule.UnsafeGraphContext>",1,0.000,0.000
"System.Func<UnityEngine.Rendering.Universal.Internal.ForwardLights.SetupLightPassData>",1,0.000,0.000
"System.Func<System.Type,System.Boolean>",1,0.000,0.000
"System.Func<System.Reflection.Assembly,System.Collections.Generic.IEnumerable<System.Type>>",1,0.000,0.000
"UnityEngine.Events.UnityAction<System.Collections.Generic.List<System.Type>>",1,0.000,0.000
"UnityEngine.GUIStyle",1,0.000,0.000
"System.Func<System.Int32,UnityEngine.Vector4>",1,0.000,0.000
"System.Action<UnityEngine.RenderingLayerMask>",1,0.000,0.000
"System.Func<UnityEngine.RenderingLayerMask>",1,0.000,0.000
"System.Func<UnityEngine.GUIContent,System.String>",1,0.000,0.000
"UnityEngine.Events.UnityAction<System.Collections.Generic.List<System.Int32>>",1,0.000,0.000
"UnityEngine.Events.UnityAction<System.Collections.Generic.List<UnityEngine.GUIContent>>",1,0.000,0.000
"System.Action<UnityEngine.Vector4,System.Int32>",1,0.000,0.000
"UnityEngine.Rendering.Universal.DownscaleParameter",4,0.000,0.000
"UnityEngine.Rendering.Universal.HDRACESPresetParameter",4,0.000,0.000
"UnityEngine.Rendering.Universal.NeutralRangeReductionModeParameter",4,0.000,0.000
"UnityEngine.Rendering.Universal.TonemappingModeParameter",4,0.000,0.000
"UnityEngine.Rendering.Universal.MotionBlurQualityParameter",4,0.000,0.000
"UnityEngine.Rendering.Universal.MotionBlurModeParameter",4,0.000,0.000
"OVRNativeBuffer",4,0.000,0.000
"System.Action<UnityEngine.Rendering.ScriptableRenderContext,UnityEngine.Camera>",1,0.000,0.000
"UnityEngine.Camera.CameraCallback",1,0.000,0.000
"System.Threading.SendOrPostCallback",1,0.000,0.000
"System.Action<System.Collections.Generic.List<Meta.XR.MRUtilityKit.MRUK.LoadDeviceResult>,OVRTask<Meta.XR.MRUtilityKit.MRUK.LoadDeviceResult[]>>",1,0.000,0.000
"UnityEngine.GlobalJavaObjectRef",4,0.000,0.000
"System.Comparison<UnityEngine.Camera>",1,0.000,0.000
"System.Action<UnityEngine.InputSystem.InputDevice,UnityEngine.InputSystem.InputDeviceChange>",1,0.000,0.000
"UnityEngine.Events.UnityAction<UnityEngine.Rendering.ProbeReferenceVolume.Cell>",1,0.000,0.000
"UnityEngine.Events.UnityAction<UnityEngine.Rendering.CommandBuffer>",1,0.000,0.000
"UnityEngine.Rendering.Universal.TemporalAA.JitterFunc",1,0.000,0.000
"System.Func<UnityEngine.Experimental.Rendering.XRLayout>",1,0.000,0.000
"System.Action<System.Collections.Generic.List<UnityEngine.Camera>>",1,0.000,0.000
"System.Func<System.Collections.Generic.List<UnityEngine.Camera>>",1,0.000,0.000
"System.Threading.SemaphoreSlim",2,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.Color32,UnityEngine.Color>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.Color,UnityEngine.Color32>",1,0.000,0.000
"UnityEngine.XR.XRInputSubsystemDescriptor[]",3,0.000,0.000
"UnityEngine.IntegratedSubsystem[]",3,0.000,0.000
"UnityEngine.IntegratedSubsystemDescriptor[]",3,0.000,0.000
"System.Func<System.Reflection.MethodInfo,System.Boolean>",1,0.000,0.000
"Unity.Jobs.IJobExtensions.JobStruct.ExecuteJobFunction<Unity.Collections.NativeArrayDisposeJob>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleCursor,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.Cursor,UnityEngine.UIElements.StyleCursor>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleCursor,UnityEngine.UIElements.Cursor>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleFloat,System.Int32>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,UnityEngine.UIElements.StyleFloat>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleFloat>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleFloat,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,UnityEngine.UIElements.StyleFloat>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleFloat,System.Single>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleLength,System.Int32>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleLength,System.Single>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Int32,UnityEngine.UIElements.StyleLength>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Single,UnityEngine.UIElements.StyleLength>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleLength>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleLength,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.Length,UnityEngine.UIElements.StyleLength>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleLength,UnityEngine.UIElements.Length>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleBackgroundSize>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleBackgroundSize,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.BackgroundSize,UnityEngine.UIElements.StyleBackgroundSize>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleBackgroundSize,UnityEngine.UIElements.BackgroundSize>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleBackgroundRepeat>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleBackgroundRepeat,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.BackgroundRepeat,UnityEngine.UIElements.StyleBackgroundRepeat>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleBackgroundRepeat,UnityEngine.UIElements.BackgroundRepeat>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleBackgroundPosition>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleBackgroundPosition,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.BackgroundPosition,UnityEngine.UIElements.StyleBackgroundPosition>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleRotate,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.Rotate,UnityEngine.UIElements.StyleRotate>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleRotate,UnityEngine.UIElements.Rotate>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Position>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Position>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.Position,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Position>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Position>,UnityEngine.UIElements.Position>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Overflow>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Overflow>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.Overflow,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Overflow>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Overflow>,UnityEngine.UIElements.Overflow>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Justify>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Justify>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.Justify,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Justify>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Justify>,UnityEngine.UIElements.Justify>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Wrap>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Wrap>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.Wrap,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Wrap>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.Wrap>,UnityEngine.UIElements.Wrap>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.FlexDirection>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.FlexDirection>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.FlexDirection,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.FlexDirection>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.FlexDirection>,UnityEngine.UIElements.FlexDirection>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.DisplayStyle>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.DisplayStyle>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.DisplayStyle,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.DisplayStyle>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.DisplayStyle>,UnityEngine.UIElements.DisplayStyle>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleCursor>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.EasingFunction>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Collections.Generic.List<UnityEngine.UIElements.EasingFunction>,UnityEngine.UIElements.StyleList<UnityEngine.UIElements.EasingFunction>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.EasingFunction>,System.Collections.Generic.List<UnityEngine.UIElements.EasingFunction>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleList<UnityEngine.UIElements.StylePropertyName>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.StylePropertyName>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Collections.Generic.List<UnityEngine.UIElements.StylePropertyName>,UnityEngine.UIElements.StyleList<UnityEngine.UIElements.StylePropertyName>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.StylePropertyName>,System.Collections.Generic.List<UnityEngine.UIElements.StylePropertyName>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleList<UnityEngine.UIElements.TimeValue>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.TimeValue>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<System.Collections.Generic.List<UnityEngine.UIElements.TimeValue>,UnityEngine.UIElements.StyleList<UnityEngine.UIElements.TimeValue>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleList<UnityEngine.UIElements.TimeValue>,System.Collections.Generic.List<UnityEngine.UIElements.TimeValue>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleTransformOrigin>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleTransformOrigin,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.TransformOrigin,UnityEngine.UIElements.StyleTransformOrigin>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleTransformOrigin,UnityEngine.UIElements.TransformOrigin>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleTextShadow>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleTextShadow,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.TextShadow,UnityEngine.UIElements.StyleTextShadow>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleTextShadow,UnityEngine.UIElements.TextShadow>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflow>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflow>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.TextOverflow,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflow>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.TextOverflow>,UnityEngine.UIElements.TextOverflow>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleScale>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleScale,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.Scale,UnityEngine.UIElements.StyleScale>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleScale,UnityEngine.UIElements.Scale>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleRotate>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.OverflowClipBox>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.OverflowClipBox,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.OverflowClipBox>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.OverflowClipBox>,UnityEngine.UIElements.OverflowClipBox>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.FontStyle>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.FontStyle>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.FontStyle,UnityEngine.UIElements.StyleEnum<UnityEngine.FontStyle>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.FontStyle>,UnityEngine.FontStyle>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleFontDefinition,UnityEngine.TextCore.Text.FontAsset>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleFontDefinition,UnityEngine.Font>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.TextCore.Text.FontAsset,UnityEngine.UIElements.StyleFontDefinition>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.Font,UnityEngine.UIElements.StyleFontDefinition>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleFontDefinition>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleFontDefinition,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.FontDefinition,UnityEngine.UIElements.StyleFontDefinition>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleFontDefinition,UnityEngine.UIElements.FontDefinition>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleFont>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleFont,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.Font,UnityEngine.UIElements.StyleFont>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleFont,UnityEngine.Font>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.EditorTextRenderingMode>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.EditorTextRenderingMode>,UnityEngine.UIElements.StyleKeyword>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.EditorTextRenderingMode,UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.EditorTextRenderingMode>>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleEnum<UnityEngine.UIElements.EditorTextRenderingMode>,UnityEngine.UIElements.EditorTextRenderingMode>",1,0.000,0.000
"Unity.Properties.TypeConverter<UnityEngine.UIElements.StyleKeyword,UnityEngine.UIElements.StyleTranslate>",1,0.000,0.000
