NameOfObject,Type,Allocated(MB),Resident(MB)
"Documentation","MonoScript",0.000,0.000
"NoAllocUtils","MonoScript",0.000,0.000
"DisallowMultipleRendererFeature","MonoScript",0.000,0.000
"PlatformDictationSDKBinding","MonoScript",0.000,0.000
"CategoryButton","MonoScript",0.000,0.000
"URPDefaultVolumeProfileSetting","MonoScript",0.000,0.000
"ColorCurves","MonoScript",0.000,0.000
"SingleHistoryBase","MonoScript",0.000,0.000
"ProxyInputModule","MonoScript",0.000,0.000
"InstanceData","MonoScript",0.000,0.000
"InstanceTransformUpdateDefs","MonoScript",0.000,0.000
"GPUInstanceDataBuffer","MonoScript",0.000,0.000
"GPUResidentBatcher","MonoScript",0.000,0.000
"DecalUpdateCachedSystem","MonoScript",0.000,0.000
"UnityOnParticleCollisionMessageListener","MonoScript",0.000,0.000
"DebugInterface","MonoScript",0.000,0.000
"UnityOnInputFieldEndEditMessageListener","MonoScript",0.000,0.000
"Universal2DResourceData","MonoScript",0.000,0.000
"Value","MonoScript",0.000,0.000
"ScreenSpaceAmbientOcclusionPass","MonoScript",0.000,0.000
"FilmGrain","MonoScript",0.000,0.000
"BatchLayers","MonoScript",0.000,0.000
"WhiteBalance","MonoScript",0.000,0.000
"GPUInstanceDataUploader","MonoScript",0.000,0.000
"ReflectionProbeMinMaxZJob","MonoScript",0.000,0.000
"Console","MonoScript",0.000,0.000
"GPUResidentDrawerTypes","MonoScript",0.000,0.000
"InstanceDataSystem","MonoScript",0.000,0.000
"UniversalPostProcessingData","MonoScript",0.000,0.000
"DebugPanel","MonoScript",0.000,0.000
"ProbeVolumeDebugPass","MonoScript",0.000,0.000
"UniversalRenderer","MonoScript",0.000,0.000
"IGPUResidentRenderPipeline","MonoScript",0.000,0.000
"DebugBar","MonoScript",0.000,0.000
"GPUResidentDrawerDebug","MonoScript",0.000,0.000
"CapturePass","MonoScript",0.000,0.000
"StpUtils","MonoScript",0.000,0.000
"ZBinningJob","MonoScript",0.000,0.000
"RenderGraphSettings","MonoScript",0.000,0.000
"Deprecated","MonoScript",0.000,0.000
"Bloom","MonoScript",0.000,0.000
"MotionVectorRenderPass","MonoScript",0.000,0.000
"ParallelSortExtensions","MonoScript",0.000,0.000
"DecalProjector","MonoScript",0.000,0.000
"ScreenSpaceLensFlare","MonoScript",0.000,0.000
"ComponentUtility","MonoScript",0.000,0.000
"MotionVectors","MonoScript",0.000,0.000
"JointRotationDebugVisual","MonoScript",0.000,0.000
"JointVelocityDebugVisual","MonoScript",0.000,0.000
"TransformRecognizerDebugVisual","MonoScript",0.000,0.000
"UnityOnCollisionEnter2DMessageListener","MonoScript",0.000,0.000
"ActiveStateDebugTree","MonoScript",0.000,0.000
"TransformFeatureDebugVisual","MonoScript",0.000,0.000
"ActiveStateDebugTreeUI","MonoScript",0.000,0.000
"FingerFeatureDebugVisual","MonoScript",0.000,0.000
"HandShapeSkeletalDebugVisual","MonoScript",0.000,0.000
"HandShapeDebugVisual","MonoScript",0.000,0.000
"SobolData","MonoScript",0.000,0.000
"ActiveStateNodeUIHorizontal","MonoScript",0.000,0.000
"OpacityFromAnimatedTransformController","MonoScript",0.000,0.000
"SamplingResources","MonoScript",0.000,0.000
"ActiveStateModel","MonoScript",0.000,0.000
"ActiveStateDebugVisual","MonoScript",0.000,0.000
"OVRGLTFAnimationNodeMorphTargetHandler","MonoScript",0.000,0.000
"OVRControllerMatchesProfileActiveState","MonoScript",0.000,0.000
"ActiveStateNodeUIVertical","MonoScript",0.000,0.000
"EnableOVRConcurrentHandsAndControllers","MonoScript",0.000,0.000
"BodyPoseDebugGizmos","MonoScript",0.000,0.000
"PoseFromBody","MonoScript",0.000,0.000
"UnityOnCollisionExit2DMessageListener","MonoScript",0.000,0.000
"BodyPoseComparerActiveState","MonoScript",0.000,0.000
"WitConfigurationAssetRefreshAttribute","MonoScript",0.000,0.000
"TouchSimulation","MonoScript",0.000,0.000
"IVoiceSDKLogger","MonoScript",0.000,0.000
"TranscriptionEventListener","MonoScript",0.000,0.000
"IBodyPose","MonoScript",0.000,0.000
"OVRBodyPoseSkeletonProvider","MonoScript",0.000,0.000
"AudioEventListener","MonoScript",0.000,0.000
"UnityOnMouseUpAsButtonMessageListener","MonoScript",0.000,0.000
"MetaXRAudioSourceExperimentalFeatures","MonoScript",0.000,0.000
"Finger","MonoScript",0.000,0.000
"Touch","MonoScript",0.000,0.000
"BodyPoseData","MonoScript",0.000,0.000
"TouchHistory","MonoScript",0.000,0.000
"UnityOnCollisionStay2DMessageListener","MonoScript",0.000,0.000
"EnhancedTouchSupport","MonoScript",0.000,0.000
"UnityOnBecameInvisibleMessageListener","MonoScript",0.000,0.000
"IConnection","MonoScript",0.000,0.000
"BezierGrabSurface","MonoScript",0.000,0.000
"ParameterListView","MonoScript",0.000,0.000
"fsForwardConverter","MonoScript",0.000,0.000
"fsAotCompilationManager","MonoScript",0.000,0.000
"GUIStyleState_DirectConverter","MonoScript",0.000,0.000
"fsIgnoreAttribute","MonoScript",0.000,0.000
"LayerMask_DirectConverter","MonoScript",0.000,0.000
"UnityOnCollisionEnterMessageListener","MonoScript",0.000,0.000
"NameAndParameterListView","MonoScript",0.000,0.000
"UnityOnTriggerEnter2DMListener","MonoScript",0.000,0.000
"fsNullableConverter","MonoScript",0.000,0.000
"Keyframe_DirectConverter","MonoScript",0.000,0.000
"OVRVirtualKeyboardSampleInputHandler","MonoScript",0.000,0.000
"fsPropertyAttribute","MonoScript",0.000,0.000
"fsConverterRegistrar","MonoScript",0.000,0.000
"TapInteraction","MonoScript",0.000,0.000
"RectOffset_DirectConverter","MonoScript",0.000,0.000
"iOSStepCounter","MonoScript",0.000,0.000
"Gradient_DirectConverter","MonoScript",0.000,0.000
"MultiTapInteraction","MonoScript",0.000,0.000
"BoxGrabSurface","MonoScript",0.000,0.000
"OSXGameController","MonoScript",0.000,0.000
"IGrabSurface","MonoScript",0.000,0.000
"fsDateConverter","MonoScript",0.000,0.000
"IOSGameController","MonoScript",0.000,0.000
"fsJsonParser","MonoScript",0.000,0.000
"NativeNotBurstCompatible","MonoScript",0.000,0.000
"fsReflectedConverter","MonoScript",0.000,0.000
"TimerUIControl","MonoScript",0.000,0.000
"fsEnumConverter","MonoScript",0.000,0.000
"fsISerializationCallbacks","MonoScript",0.000,0.000
"fsObjectAttribute","MonoScript",0.000,0.000
"SharedSpatialAnchorCoreBuildingBlock","MonoScript",0.000,0.000
"fsConfig","MonoScript",0.000,0.000
"fsGuidConverter","MonoScript",0.000,0.000
"fsMetaType","MonoScript",0.000,0.000
"GUIStyle_DirectConverter","MonoScript",0.000,0.000
"fsResult","MonoScript",0.000,0.000
"ColliderGrabSurface","MonoScript",0.000,0.000
"InputAction_DirectConverter","MonoScript",0.000,0.000
"fsJsonPrinter","MonoScript",0.000,0.000
"fsIEnumerableConverter","MonoScript",0.000,0.000
"HandGrabPoseLiveRecorder","MonoScript",0.000,0.000
"PressInteraction","MonoScript",0.000,0.000
"Rect_DirectConverter","MonoScript",0.000,0.000
"fsSerializer","MonoScript",0.000,0.000
"fsTypeCache","MonoScript",0.000,0.000
"fsMetaProperty","MonoScript",0.000,0.000
"Bounds_DirectConverter","MonoScript",0.000,0.000
"HoldInteraction","MonoScript",0.000,0.000
"fsArrayConverter","MonoScript",0.000,0.000
"fsBaseConverter","MonoScript",0.000,0.000
"fsWeakReferenceConverter","MonoScript",0.000,0.000
"fsPrimitiveConverter","MonoScript",0.000,0.000
"fsReflectionUtility","MonoScript",0.000,0.000
"AnimationCurve_DirectConverter","MonoScript",0.000,0.000
"fsObjectProcessor","MonoScript",0.000,0.000
"SlowTapInteraction","MonoScript",0.000,0.000
"fsKeyValuePairConverter","MonoScript",0.000,0.000
"fsData","MonoScript",0.000,0.000
"fsDictionaryConverter","MonoScript",0.000,0.000
"ListSnapPoseDelegateRoundedBoxVisual","MonoScript",0.000,0.000
"fsContext","MonoScript",0.000,0.000
"fsTypeConverter","MonoScript",0.000,0.000
"SphereGrabSurface","MonoScript",0.000,0.000
"fsConverter","MonoScript",0.000,0.000
"CylinderGrabSurface","MonoScript",0.000,0.000
"fsDirectConverter","MonoScript",0.000,0.000
"DictationConfiguration","MonoScript",0.000,0.000
"ColliderMask","MonoScript",0.000,0.000
"CompositeMaskAvg","MonoScript",0.000,0.000
"TransformTrackingToWorldTransformer","MonoScript",0.000,0.000
"EmoteEventHandler","MonoScript",0.000,0.000
"CookieMask","MonoScript",0.000,0.000
"ReticleIconDrawer","MonoScript",0.000,0.000
"SceneDecoration","MonoScript",0.000,0.000
"SimplexNoiseMask","MonoScript",0.000,0.000
"PlaceWithAnchor","MonoScript",0.000,0.000
"CompositeMaskAdd","MonoScript",0.000,0.000
"RandomDistribution","MonoScript",0.000,0.000
"SimplexDistribution","MonoScript",0.000,0.000
"DictationServiceAudioEventReference","MonoScript",0.000,0.000
"SerializedPropertyProviderAttribute","MonoScript",0.000,0.000
"CustomIntegrationConfig","MonoScript",0.000,0.000
"GridDistribution","MonoScript",0.000,0.000
"NotInsideMask","MonoScript",0.000,0.000
"PalmMenuExample","MonoScript",0.000,0.000
"CellularNoiseMask","MonoScript",0.000,0.000
"SceneDecorationEditor","MonoScript",0.000,0.000
"HandPuppet","MonoScript",0.000,0.000
"GrabAndLocate","MonoScript",0.000,0.000
"OVRHandTrackingWideMotionModeSample","MonoScript",0.000,0.000
"InputActionReferenceSearchProviders","MonoScript",0.000,0.000
"CompositeMaskMax","MonoScript",0.000,0.000
"DebugAttributes","MonoScript",0.000,0.000
"SingletonMonoBehavior","MonoScript",0.000,0.000
"InsideCurrentRoomMask","MonoScript",0.000,0.000
"UnityOnCollisionStayMessageListener","MonoScript",0.000,0.000
"RandomMask","MonoScript",0.000,0.000
"StaggeredConcentricDistribution","MonoScript",0.000,0.000
"UnityOnCollisionExitMessageListener","MonoScript",0.000,0.000
"CompositeMaskMul","MonoScript",0.000,0.000
"RayDistanceMask","MonoScript",0.000,0.000
"PointAndLocate","MonoScript",0.000,0.000
"ActionEventHandler","MonoScript",0.000,0.000
"ModifierEditor","MonoScript",0.000,0.000
"ConstantMask","MonoScript",0.000,0.000
"HandJointMap","MonoScript",0.000,0.000
"UnityOnTriggerStay2DMListener","MonoScript",0.000,0.000
"StochasticMask","MonoScript",0.000,0.000
"HandGhostProvider","MonoScript",0.000,0.000
"ReticleDataMesh","MonoScript",0.000,0.000
"DominantHandGameObjectFilter","MonoScript",0.000,0.000
"RotationModifier","MonoScript",0.000,0.000
"SceneDecorator","MonoScript",0.000,0.000
"AnchorComponentDistanceMask","MonoScript",0.000,0.000
"ReticleMeshDrawer","MonoScript",0.000,0.000
"ScaleModifier","MonoScript",0.000,0.000
"PalmMenuExampleButtonHandlers","MonoScript",0.000,0.000
"DistantInteractionLineVisual","MonoScript",0.000,0.000
"SceneDecoratorTypes","MonoScript",0.000,0.000
"Item","MonoScript",0.000,0.000
"ReticleDataTeleport","MonoScript",0.000,0.000
"KeepUprightWithSurfaceModifier","MonoScript",0.000,0.000
"VisualizeEnvRaycast","MonoScript",0.000,0.000
"DistantInteractionTubeVisual","MonoScript",0.000,0.000
"StyleConstants","MonoScript",0.000,0.000
"ReticleDataGhost","MonoScript",0.000,0.000
"SpaceMapGPUMask","MonoScript",0.000,0.000
"HeightMask","MonoScript",0.000,0.000
"PoolManagerSingleton","MonoScript",0.000,0.000
"SpaceLocator","MonoScript",0.000,0.000
"MaskEditor","MonoScript",0.000,0.000
"Mask","MonoScript",0.000,0.000
"TeleportReticleDrawer","MonoScript",0.000,0.000
"OVRMixedRealityCaptureConfiguration","MonoScript",0.000,0.000
"CollectionViewSelectionChangeFilter","MonoScript",0.000,0.000
"CompositeMaskMin","MonoScript",0.000,0.000
"UnityOnTriggerExit2DMListener","MonoScript",0.000,0.000
"ScaleUniformModifier","MonoScript",0.000,0.000
"Manager","MonoScript",0.000,0.000
"HandGhost","MonoScript",0.000,0.000
"DontDestroyOnLoadModifier","MonoScript",0.000,0.000
"RotationModifierSpaceMap","MonoScript",0.000,0.000
"PoolManagerComponent","MonoScript",0.000,0.000
"SlopeMask","MonoScript",0.000,0.000
"Modifier","MonoScript",0.000,0.000
"AnchorDistanceMask","MonoScript",0.000,0.000
"ReticleGhostDrawer","MonoScript",0.000,0.000
"Mask2D","MonoScript",0.000,0.000
"ReticleDataIcon","MonoScript",0.000,0.000
"KeepUprightWithAnchorModifier","MonoScript",0.000,0.000
"IReticleData","MonoScript",0.000,0.000
"UnityOnBecameVisibleMessageListener","MonoScript",0.000,0.000
"IVolume","MonoScript",0.000,0.000
"IUnsafeCommandBuffer","MonoScript",0.000,0.000
"RenderGraphGlobalSettings","MonoScript",0.000,0.000
"SphericalHarmonics","MonoScript",0.000,0.000
"VolumeManager","MonoScript",0.000,0.000
"CameraSwitcher","MonoScript",0.000,0.000
"IDataProvider","MonoScript",0.000,0.000
"ISTPEnabledRenderPipeline","MonoScript",0.000,0.000
"BufferedRumble","MonoScript",0.000,0.000
"RTHandle","MonoScript",0.000,0.000
"DebugUIHandlerVBox","MonoScript",0.000,0.000
"RTHandleSystem","MonoScript",0.000,0.000
"DebugUIHandlerEnumHistory","MonoScript",0.000,0.000
"DebugUIHandlerHBox","MonoScript",0.000,0.000
"DebugDisplaySettingsPanel","MonoScript",0.000,0.000
"ShaderGeneratorAttributes","MonoScript",0.000,0.000
"SendBufferedHapticsCommand","MonoScript",0.000,0.000
"IDefaultVolumeProfileSettings","MonoScript",0.000,0.000
"ProbeVolumeStreamableAsset","MonoScript",0.000,0.000
"UIFoldout","MonoScript",0.000,0.000
"DebugUIHandlerUIntField","MonoScript",0.000,0.000
"DebugUIHandlerMessageBox","MonoScript",0.000,0.000
"CompensateDirectionProcessor","MonoScript",0.000,0.000
"DebugDisplaySettingsHDROutput","MonoScript",0.000,0.000
"CoreMatrixUtils","MonoScript",0.000,0.000
"VolumeProfile","MonoScript",0.000,0.000
"FrameTimeSample","MonoScript",0.000,0.000
"ProbeVolumeGIContributor","MonoScript",0.000,0.000
"VolumeParameter","MonoScript",0.000,0.000
"InspectViaImplementationsAttribute","MonoScript",0.000,0.000
"WitWebSocketTranscribeRequest","MonoScript",0.000,0.000
"ProbeVolume","MonoScript",0.000,0.000
"Vector3Composite","MonoScript",0.000,0.000
"DebugUIHandlerVector3","MonoScript",0.000,0.000
"BufferedRTHandleSystem","MonoScript",0.000,0.000
"LensFlareComponentSRP","MonoScript",0.000,0.000
"OVRControllerDrivenHandPosesSample","MonoScript",0.000,0.000
"WitWebSocketAuthRequest","MonoScript",0.000,0.000
"OVRUnityHumanoidSkeletonRetargeter","MonoScript",0.000,0.000
"CoreUtils","MonoScript",0.000,0.000
"DebugUIHandlerGroup","MonoScript",0.000,0.000
"ProbeReferenceVolume.Binding","MonoScript",0.000,0.000
"ProbeBrickIndex","MonoScript",0.000,0.000
"ProbeVolumeAsset","MonoScript",0.000,0.000
"TwoModifiersComposite","MonoScript",0.000,0.000
"DynamicString","MonoScript",0.000,0.000
"CommandBufferPool","MonoScript",0.000,0.000
"DebugUIHandlerValue","MonoScript",0.000,0.000
"WitWebSocketSpeechRequest","MonoScript",0.000,0.000
"DebugManager.Actions","MonoScript",0.000,0.000
"ComputeCommandBuffer","MonoScript",0.000,0.000
"CommandBufferHelpers","MonoScript",0.000,0.000
"DebugUIHandlerObject","MonoScript",0.000,0.000
"DebugDisplaySettingsRenderGraph","MonoScript",0.000,0.000
"DebugUIHandlerWidget","MonoScript",0.000,0.000
"CameraHistory","MonoScript",0.000,0.000
"RenderPipelineResources","MonoScript",0.000,0.000
"IDebugDisplaySettingsPanel","MonoScript",0.000,0.000
"GPUPrefixSum.Data","MonoScript",0.000,0.000
"CoreRenderPipelinePreferences","MonoScript",0.000,0.000
"PowerOfTwoTextureAtlas","MonoScript",0.000,0.000
"CameraCaptureBridge","MonoScript",0.000,0.000
"IncludeRenderPipelineAsset","MonoScript",0.000,0.000
"HIDDescriptorWindow","MonoScript",0.000,0.000
"BatchRendererGroupGlobals","MonoScript",0.000,0.000
"Blitter","MonoScript",0.000,0.000
"ProfilingScope","MonoScript",0.000,0.000
"XRGraphicsAutomatedTests","MonoScript",0.000,0.000
"ProbeVolumePerSceneData","MonoScript",0.000,0.000
"ProbeVolumePositioning","MonoScript",0.000,0.000
"VolumeDebugData","MonoScript",0.000,0.000
"StickDeadzoneProcessor","MonoScript",0.000,0.000
"WitWebSocketTtsRequest","MonoScript",0.000,0.000
"ContextContainer","MonoScript",0.000,0.000
"DebugShapes","MonoScript",0.000,0.000
"DebugManager","MonoScript",0.000,0.000
"XRSRPSettings","MonoScript",0.000,0.000
"DebugUI.Panel","MonoScript",0.000,0.000
"DebugUIHandlerToggle","MonoScript",0.000,0.000
"WitWebSocketMessageRequest","MonoScript",0.000,0.000
"VolumeCollection","MonoScript",0.000,0.000
"DebugDisplaySettingsVolumes","MonoScript",0.000,0.000
"ScaleProcessor","MonoScript",0.000,0.000
"IVolumeDebugSettings","MonoScript",0.000,0.000
"DebugUIHandlerObjectPopupField","MonoScript",0.000,0.000
"ScaleVector2Processor","MonoScript",0.000,0.000
"ProbeVolumeScratchBufferPool","MonoScript",0.000,0.000
"NormalizeProcessor","MonoScript",0.000,0.000
"TextureGradient","MonoScript",0.000,0.000
"LensFlareCommonSRP","MonoScript",0.000,0.000
"HDROutputUtils","MonoScript",0.000,0.000
"DebugUIHandlerButton","MonoScript",0.000,0.000
"NormalizeVector3Processor","MonoScript",0.000,0.000
"EditorWindowSpaceProcessor","MonoScript",0.000,0.000
"LensFlareDataSRP","MonoScript",0.000,0.000
"DebugUIHandlerPersistentCanvas","MonoScript",0.000,0.000
"AndroidServiceConnection","MonoScript",0.000,0.000
"GPUPrefixSum.ShaderIDs","MonoScript",0.000,0.000
"InvertProcessor","MonoScript",0.000,0.000
"WitWebSocketSubscriptionRequest","MonoScript",0.000,0.000
"IComputeCommandBuffer","MonoScript",0.000,0.000
"UnityOnJointBreak2DMessageListener","MonoScript",0.000,0.000
"OVRHumanBodyBonesMappingsInterface","MonoScript",0.000,0.000
"IRasterCommandBuffer","MonoScript",0.000,0.000
"LightAnchor","MonoScript",0.000,0.000
"SerializableEnum","MonoScript",0.000,0.000
"VolumeStack","MonoScript",0.000,0.000
"DebugUIHandlerObjectList","MonoScript",0.000,0.000
"InvertVector3Processor","MonoScript",0.000,0.000
"ShaderDebugPrintManager","MonoScript",0.000,0.000
"IDebugDisplaySettingsData","MonoScript",0.000,0.000
"ReloadGroupAttribute","MonoScript",0.000,0.000
"DebugManager.UIState","MonoScript",0.000,0.000
"DebugUIHandlerCanvas","MonoScript",0.000,0.000
"ResourceReloader","MonoScript",0.000,0.000
"Hammersley","MonoScript",0.000,0.000
"ColorSpaceUtils","MonoScript",0.000,0.000
"DebugUpdater","MonoScript",0.000,0.000
"ProbeVolumeGlobalSettings","MonoScript",0.000,0.000
"CompensateRotationProcessor","MonoScript",0.000,0.000
"UnityOnPointerEnterMessageListener","MonoScript",0.000,0.000
"ShaderVariablesProbeVolumes","MonoScript",0.000,0.000
"ProbeVolumesOptions","MonoScript",0.000,0.000
"GPUSort.Data","MonoScript",0.000,0.000
"NormalizeVector2Processor","MonoScript",0.000,0.000
"ShaderStrippingSetting","MonoScript",0.000,0.000
"CoreUnsafeUtils","MonoScript",0.000,0.000
"STP","MonoScript",0.000,0.000
"ClampProcessor","MonoScript",0.000,0.000
"TextureCurve","MonoScript",0.000,0.000
"ScaleVector3Processor","MonoScript",0.000,0.000
"DebugUIHandlerBitField","MonoScript",0.000,0.000
"ButtonWithTwoModifiers","MonoScript",0.000,0.000
"AxisComposite","MonoScript",0.000,0.000
"FreeCamera","MonoScript",0.000,0.000
"ConstantBuffer","MonoScript",0.000,0.000
"IBaseCommandBuffer","MonoScript",0.000,0.000
"GlobalDynamicResolutionSettings","MonoScript",0.000,0.000
"RasterCommandBuffer","MonoScript",0.000,0.000
"SendHapticImpulseCommand","MonoScript",0.000,0.000
"DebugUIHandlerPanel","MonoScript",0.000,0.000
"OVRVirtualKeyboardHandInputHandler","MonoScript",0.000,0.000
"WitWebSocketJsonRequest","MonoScript",0.000,0.000
"DebugFrameTiming","MonoScript",0.000,0.000
"ICloudBackground","MonoScript",0.000,0.000
"DebugUIHandlerColor","MonoScript",0.000,0.000
"BaseCommandBufer","MonoScript",0.000,0.000
"ProbeIndexOfIndices","MonoScript",0.000,0.000
"Swap.Extensions","MonoScript",0.000,0.000
"ProbeAdjustmentVolume","MonoScript",0.000,0.000
"UnityOnTriggerEnterMessageListener","MonoScript",0.000,0.000
"VolumeComponent","MonoScript",0.000,0.000
"DebugUIHandlerToggleHistory","MonoScript",0.000,0.000
"VoiceCommandResult","MonoScript",0.000,0.000
"IDebugDisplaySettingsQuery","MonoScript",0.000,0.000
"BitArray","MonoScript",0.000,0.000
"ProbeReferenceVolume","MonoScript",0.000,0.000
"UnityOnPointerClickMessageListener","MonoScript",0.000,0.000
"UnsafeCommandBuffer","MonoScript",0.000,0.000
"NetSyncSessionsChangedNotification","MonoScript",0.000,0.000
"RTHandles","MonoScript",0.000,0.000
"Vector2Composite","MonoScript",0.000,0.000
"DebugUIHandlerFoldout","MonoScript",0.000,0.000
"DebugUIHandlerValueTuple","MonoScript",0.000,0.000
"IStripper","MonoScript",0.000,0.000
"IVolumetricCloud","MonoScript",0.000,0.000
"HableCurve","MonoScript",0.000,0.000
"DebugUI","MonoScript",0.000,0.000
"HaltonSequence","MonoScript",0.000,0.000
"GPUSort","MonoScript",0.000,0.000
"LightUnitUtils","MonoScript",0.000,0.000
"InvertVector2Processor","MonoScript",0.000,0.000
"ProbeVolumeBakingSet","MonoScript",0.000,0.000
"DebugUIHandlerRow","MonoScript",0.000,0.000
"GPUPrefixSum","MonoScript",0.000,0.000
"DebugUIHandlerVector2","MonoScript",0.000,0.000
"DynamicResolutionHandler","MonoScript",0.000,0.000
"FSRUtils","MonoScript",0.000,0.000
"ProbeReferenceVolume.ReflProbeNormalization","MonoScript",0.000,0.000
"IPostProcessComponent","MonoScript",0.000,0.000
"ColorUtils","MonoScript",0.000,0.000
"DebugUIHandlerIntField","MonoScript",0.000,0.000
"IDebugDisplaySettings","MonoScript",0.000,0.000
"TileLayoutUtils","MonoScript",0.000,0.000
"Documentation","MonoScript",0.000,0.000
"IAdditionalData","MonoScript",0.000,0.000
"TextureXR","MonoScript",0.000,0.000
"DebugUI.Fields","MonoScript",0.000,0.000
"DebugUIHandlerVector4","MonoScript",0.000,0.000
"FrameTimeBottleneck","MonoScript",0.000,0.000
"InputActionReferencePropertyDrawer","MonoScript",0.000,0.000
"ProbeReferenceVolume.Debug","MonoScript",0.000,0.000
"RenderGraphCompilationCache","MonoScript",0.000,0.000
"DebugUIHandlerFloatField","MonoScript",0.000,0.000
"RemoveRange.Extensions","MonoScript",0.000,0.000
"HandGrabInteractableDataCollection","MonoScript",0.000,0.000
"ArrayExtensions","MonoScript",0.000,0.000
"DebugUIHandlerContainer","MonoScript",0.000,0.000
"GetHapticCapabilitiesCommand","MonoScript",0.000,0.000
"MeshGizmo","MonoScript",0.000,0.000
"PanelWithManipulatorsStateSignaler","MonoScript",0.000,0.000
"DebugDisplaySettingsUI","MonoScript",0.000,0.000
"ReloadAttribute","MonoScript",0.000,0.000
"KeyframeUtility","MonoScript",0.000,0.000
"CompositePartBindingPropertiesView","MonoScript",0.000,0.000
"IDefaultVolumeProfileResource","MonoScript",0.000,0.000
"DebugUIHandlerProgressBar","MonoScript",0.000,0.000
"OneModifierComposite","MonoScript",0.000,0.000
"InputActionsEditorSettingsProvider","MonoScript",0.000,0.000
"ProbeReferenceVolume.Streaming","MonoScript",0.000,0.000
"Volume","MonoScript",0.000,0.000
"MousePositionDebug","MonoScript",0.000,0.000
"ButtonWithOneModifier","MonoScript",0.000,0.000
"MaterialQuality","MonoScript",0.000,0.000
"DelegateUtility","MonoScript",0.000,0.000
"InputRegistering","MonoScript",0.000,0.000
"AxisDeadzoneProcessor","MonoScript",0.000,0.000
"DebugUIHandlerEnumField","MonoScript",0.000,0.000
"Deprecated","MonoScript",0.000,0.000
"Texture2DAtlas","MonoScript",0.000,0.000
"ProbeBrickPool","MonoScript",0.000,0.000
"CoreAttributes","MonoScript",0.000,0.000
"SceneRenderPipeline","MonoScript",0.000,0.000
"HashFNV1A32","MonoScript",0.000,0.000
"ProbeVolumeSceneData","MonoScript",0.000,0.000
"DebugUI.Containers","MonoScript",0.000,0.000
"DebugOverlay","MonoScript",0.000,0.000
"GetCurrentHapticStateCommand","MonoScript",0.000,0.000
"DebugUIHandlerIndirectToggle","MonoScript",0.000,0.000
"InputSystemEventSystem","MonoScript",0.000,0.000
"FourCC","MonoScript",0.000,0.000
"GizmoHook","MonoScript",0.000,0.000
"DualShockSupport","MonoScript",0.000,0.000
"AudioDurationTrackerFinishedEvent","MonoScript",0.000,0.000
"TweakManager","MonoScript",0.000,0.000
"InputSystemUIInputModuleEditor","MonoScript",0.000,0.000
"DualShockGamepad","MonoScript",0.000,0.000
"OnInputSystemEvent","MonoScript",0.000,0.000
"DebugManager","MonoScript",0.000,0.000
"LocomotionTutorialProgressTracker","MonoScript",0.000,0.000
"DataStreamExtensions","MonoScript",0.000,0.000
"MetaXRAudioRoomAcousticProperties","MonoScript",0.000,0.000
"UnityOnTriggerStayMListener","MonoScript",0.000,0.000
"InputActionsEditorSessionAnalytic","MonoScript",0.000,0.000
"ExceptionHelpers","MonoScript",0.000,0.000
"DisplayStringFormatAttribute","MonoScript",0.000,0.000
"SpriteUtilities","MonoScript",0.000,0.000
"InspectorActionDirectionAttribute","MonoScript",0.000,0.000
"DelegateHelpers","MonoScript",0.000,0.000
"Observable","MonoScript",0.000,0.000
"UnsafeBitArray","MonoScript",0.000,0.000
"JsonParser","MonoScript",0.000,0.000
"MiscHelpers","MonoScript",0.000,0.000
"UnityOnTriggerExitMListener","MonoScript",0.000,0.000
"Watch","MonoScript",0.000,0.000
"ArrayHelpers","MonoScript",0.000,0.000
"ForDeviceEventObservable","MonoScript",0.000,0.000
"UnityOnButtonClickMessageListener","MonoScript",0.000,0.000
"TypeHelpers","MonoScript",0.000,0.000
"SavedState","MonoScript",0.000,0.000
"CSharpCodeHelpers","MonoScript",0.000,0.000
"MemoryHelpers","MonoScript",0.000,0.000
"Category","MonoScript",0.000,0.000
"Comparers","MonoScript",0.000,0.000
"PredictiveParser","MonoScript",0.000,0.000
"UnsafeUtilityEx","MonoScript",0.000,0.000
"SubManagersForAddon","MonoScript",0.000,0.000
"InternedString","MonoScript",0.000,0.000
"UnityOnPointerDownMessageListener","MonoScript",0.000,0.000
"SpatialAnchorSpawnerBuildingBlock","MonoScript",0.000,0.000
"UnsafeAtomicCounter","MonoScript",0.000,0.000
"StringHelpers","MonoScript",0.000,0.000
"UnsafeParallelHashMap","MonoScript",0.000,0.000
"InputActionTrace","MonoScript",0.000,0.000
"OVRVirtualKeyboardSampleWPMPrompt","MonoScript",0.000,0.000
"MonoBehaviourEndOfFrameExtensions","MonoScript",0.000,0.000
"IDebugManager","MonoScript",0.000,0.000
"UnsafeAppendBuffer","MonoScript",0.000,0.000
"PrimitiveValue","MonoScript",0.000,0.000
"UnsafeText","MonoScript",0.000,0.000
"UnityOnPointerExitMessageListener","MonoScript",0.000,0.000
"Substring","MonoScript",0.000,0.000
"ILogSource","MonoScript",0.000,0.000
"TypeTable","MonoScript",0.000,0.000
"GizmoManager","MonoScript",0.000,0.000
"ActionManager","MonoScript",0.000,0.000
"Hook","MonoScript",0.000,0.000
"UnsafeStream","MonoScript",0.000,0.000
"ActionHook","MonoScript",0.000,0.000
"UnsafeList","MonoScript",0.000,0.000
"UnsafeScratchAllocator","MonoScript",0.000,0.000
